nome,paco_municipal,E-mail,Endereço,Responsável,divisao,Contato
Divisão de Lazer,0,semjel@braganca.sp.gov.br,49,Anderson Pereira do Nascimento,904,4034-2822
Gabinete do Secretário,0,semjel@braganca.sp.gov.br | esportes.bp@gmail.com,49,Edson Faralhi (Marinho),905,(11) 4034-2822
Divisão de Desenvolvimento Ambiental (DDA),0,dda@braganca.sp.gov.br,72,Carla Aparecida Puga Marcelino,906,(11) 4034-6780
Divisão de Desenvolvimento Urbano (DDU),0,ddu@braganca.sp.gov.br,72,Giovana Dantas Chiavegati,907,(11) 4034-6780
Divisão de Fiscalização Ambiental (DIFA),0,difa@braganca.sp.gov.br,72,Monique Darrieux Sampaio Bertoncini,908,(11) 4034-6780
Divisão do Bem – Estar Animal (DIBEM),0,dibem@braganca.sp.gov.br,72,Michele da Silva Santos,909,(11) 4034-6780
Gabinete do Secretário,0,smma@braganca.sp.gov.br,72,João Ricardo Guimarães Caetano,910,(11) 4034-6780
Divisão de Planejamento, Projetos e Educação de Trânsito",0,mobilidade@braganca.sp.gov.br,94,Camilla Gallucci Tomaselli,911,(11) 4035-8060
Divisão de Sinalização, Operações e Tecnologia",0,fiscalizacao.sinalizacao@braganca.sp.gov.br,94,Anderson de Souza Reis,912,(11) 4035-8060
Divisão de Transportes e Cargas,0,cadastro.caminhao@braganca.sp.gov.br / transportes.cargas@braganca.sp.gov.br,94,Marcos Antonio Landucci,913,(11) 4035-8060
Gabinete do Secretário,0,mobilidade@braganca.sp.gov.br,94,Dorival Francisco Bertin,914,(11) 4035-8060
Centro de Educação Ambiental Sala Verde Pindorama,0,sv_pindorama@yahoo.com.br,4,,915,(11) 4034-4542 (whatsapp)
Divisão Técnico-Pedagógica (DITP),0,controleadm.sme@braganca.sp.gov.br,4,Marineusa Campos Moraes Antunes,916,(11) 4034-7211
Divisão de Apoio Escolar (DIAE),0,diae@braganca.sp.gov.br,4,Rosangela Aparecida Rodrigues Gonçalves,917,(11) 4034-7211
Divisão de Merenda Escolar (DIME),0,dime.sme.braganca@gmail.com,4,Rafaela de Oliveira Machado Krauss,918,(11) 4034-0493
E.M. Antonio Dorival Monteiro de Oliveira,0,,78,,917,(11) 4034-5059
E.M. Antonio José da Fonseca,0,,75,,917,(11) 4031-5052
E.M. Augusto Vasconcellos,0,,45,,917,(11) 4035-3047
E.M. Cel. Ladislau Leme,0,,77,,917,(11) 4033-4683
E.M. Comendador Hafiz Abi Chedid,0,,51,,917,(11) 4034-5069
E.M. D. Henedina Rodrigues Cortez II,0,,97,,917,(11) 4031-5042
E.M. Des. Prof. Dr. Paulo Sérgio F. de Oliveira,0,,80,,917,(11) 4032-1347
E.M. Deusmar Fabiano Motta,0,,64,,917,(11) 4033-1095
E.M. Dr. Jorge Tibiriçá,0,,84,,917,(11) 4033-2235
E.M. Monsenhor José Lélio Mendes Ferreira,0,,86,,917,(11) 4033-0019
E.M. Padre Aldo Bolini,0,,51,,917,(11) 4034-5048
E.M. Padre Donato Vaglio,0,,37,,917,(11) 4035-0305
E.M. Prof. Abner Antonio Sperendio,0,,40,,917,(11) 4031-6555
E.M. Prof. Adalmir Elias Duaik,0,,42,,917,(11) 4032-4201
E.M. Prof. Carlos Frederico dos Santos Silva,0,,39,,917,(11) 4032-4735
E.M. Prof. Dinorah Ramos,0,,19,,917,(11) 4031-3657
E.M. Prof. Dr. Affonso Risi,0,,33,,917,(11) 4035-5028
E.M. Prof. Dr. Francisco Murilo Pinto,0,,46,,917,(11) 4035-2844
E.M. Prof. Fernando Amos Siriani,0,,53,,917,(11) 4031-2468
E.M. Prof. Fernando da Silva Leme,0,,92,,917,(11) 4034-5062
E.M. Prof. Joaquim Theodoro da Silva,0,,56,,917,(11) 4035-3387
E.M. Prof. José Murillo Arruda,0,,101,,917,(11) 4035-6915
E.M. Prof. Luiz Gonzaga Fernandes,0,,91,,917,(11) 4032-3709
E.M. Prof. Orlando Pinto de Oliveira,0,,55,,917,(11) 4034-5018
E.M. Profª. Alba D’ Aparecida Klein,0,,99,,917,(11) 4034-5043
E.M. Profª. Antonietta de Oliveira Lisa,0,,58,,917,(11) 4034-5046
E.M. Profª. Creusa Gomes de Azevedo,0,,79,,917,(11) 4032-7378
E.M. Profª. Célia Grasson,0,,65,,917,(11) 4032-0784
E.M. Profª. Eliana Peluso Sperandio,0,,50,,917,(11) 4035-1885
E.M. Profª. Haidée Marçal Serbin,0,,11,,917,(11) 4031-1904
E.M. Profª. Ivanise Villaça Helena,0,,30,,917,(11) 4035-0018
E.M. Profª. Ivonne dos Santos Dias,0,,19,,917,(11) 4031-3050
E.M. Profª. Jandyra Colombi Costa Valente,0,,22,,917,(11) 4035-1458
E.M. Profª. Leila Montanari Ramos,0,,96,,917,(11) 4033-0679
E.M. Profª. Lucy Alvarez,0,,36,,917,(11) 4032-8931
E.M. Profª. Lúcia Helena Pugiali,0,,32,,917,(11) 4035-6943
E.M. Profª. Marice Toledo Leme Suarez,0,,71,,917,(11) 4031-0509
E.M. Profª. Marilis Reginato Abi Chedid,0,,17,,917,(11) 4034-2372
E.M. Profª. Marisa Filomena do Amaral,0,,103,,917,(11) 4035-5045
E.M. Profª. Marisa Valério Pinto,0,,38,,917,(11) 4034-5237
E.M. Profª. Mª. Augusta Martins da Silva,0,,81,,917,(11) 4035-5067
E.M. Profª. Mª. Elisa Quadros Câmara,0,,82,,917,(11) 4034-5056
E.M. Profª. Mª. Erci Ramos Valle,0,,57,,917,(11) 4031-4145
E.M. Profª. Mª. Ignéa Morales Garcia,0,,47,,917,(11) 4034-5068
E.M. Profª. Mª. Lossasso Sabella,0,,106,,917,(11) 4031-4541
E.M. Profª. Mª. Lúcia Camargo de C. Serralvo,0,,48,,917,(11) 4034-5071
E.M. Profª. Mª. Siriani Del Nero,0,,102,,917,(11) 4032-0981
E.M. Profª. Mª. Thereza Cacossi Salema,0,,90,,917,(11) 4031-2721
E.M. Profª. Mª. da Graça de Moraes Palombello,0,,34,,917,(11) 4032-7111
E.M. Profª. Nilce Magrini Lisa Sanchez,0,,76,,917,(11) 4035-2788
E.M. Profª. Nilza Faria,0,,95,,917,(11) 4035-5038
E.M. Profª. Sara Moritz Aronovich,0,,98,,917,(11) 4034-5061
E.M. Profª. Sylvia Ferraz Fernandes Olmo,0,,100,,917,(11) 4034-8600
E.M. Profª. Zitta de Mello Barbosa,0,,61,,917,(11) 4035-5060
E.M. Saada Nader Abi Chedid,0,,104,,917,(11) 4035-5054
E.M. Scyla Médici,0,,18,,917,(11) 4035-0442
E.M.R. Eugênia de Souza Camargo,0,,5,,917,(11) 97135-2262
E.M.R. João Rissardi Junior,0,,1,,917,(11) 4035-5719
E.M.R. Monsenhor Pedro Paulo Farhat,0,,6,,917,(11) 4035-0188
E.M.R. Mª da Glória Teixeira Rodrigues,0,,10,,917,(11) 4035-4573
E.M.R. Prof. Adelson Azevedo,0,,7,,917,(11) 4033-2026
E.M.R. Profª. Arline Menin Andrade,0,,29,,917,(11) 4035-4152
E.M.R. Profª. Fernanda Ximenes Fernandes,0,,27,,917,(11) 4035-0602
E.M.R. Profª. Lenar Alvarez Santiago Acedo,0,,2,,917,(11) 4031-3959
E.M.R. Profª. Rosemary Appezzato Sasahara,0,,66,,917,(11) 4031-0380
E.M.R. Profª. Teresinha Maria de Godoy Jurça,0,,67,,917,(11) 4032-8018
E.M.R. Profª. Therezinha de Lima Bellotto,0,,26,,917,(11) 99649-0945
E.M.R. Profª.Elena Moreto de Camargo Miranda,0,,3,,917,(11) 4033-0618
EM Profª. Dalva Carmignotto da Graça,0,,54,,917,(11) 4031-5029
EM Roseli Aparecida Russi Rossi,0,,63,,917,(11) 4033-3230
EMR Profª. Yvette Apparecida Mucci,0,,1,,917,(11) 4603-1339
Escola Bragantina de Formação e Aperfeiçoamento (EBRAFA),0,ebrafasme@hotmail.com,4,,917,(11) 4034-7211
Gabinete da Secretária,0,educacao@braganca.sp.gov.br,4,Tatiana Canquerini Leal,961,(11) 4034-7211
Núcleo de Apoio à Aprendizagem (NAA),0,nucleo_sme@yahoo.com.br,105,,917,(11) 4035-0473 / (11) 4031-5053
Polo de Apoio Presencial da Universidade Aberta do Brasil (POLO UAB),0,polouab@braganca.sp.gov.br,22,,917,(11) 4035-1600 ou (11) 4032-3187 (WhatsApp)
Divisão Comunicação Administrativa (DICA),1,dica@braganca.sp.gov.br,31,Renato Gonçalves de Oliveira,919,(11) 4034-7012
"Divisão de Licitação, Compras e Almoxarifado (DLCA)",1,dlca@braganca.sp.gov.br / divisaolicita@gmail.com / contratos@braganca.sp.gov.br,31,Marcel Benedito de Godoi,920,(11) 4034-7091
Divisão de Patrimônio Mobiliário,0,patrimonio.mobiliario@braganca.sp.gov.br,62,,921,(11) 4603-2011
Divisão de Recursos Humanos (DIRH),1,dirh@braganca.sp.gov.br,31,José Maurício Izzo,922,11 4034-7100 - Ramal 1192
Gabinete da Secretária,1,administracao@braganca.sp.gov.br,31,Stefania Penteado Corradini Rela,923,(11) 4034-7100
Seção de Protocolo,1,protocolo@braganca.sp.gov.br,31,,924,(11) 4034-7069
Biblioteca Municipal “Dra Adalzira Bittencourt”,0,biblioteca.municipal@braganca.sp.gov.br,87,,925,(11) 4034-5019
Centro Cultural Geraldo Pereira,0,centrocultural.geraldopereira@braganca.sp.gov.br,28,,926,(11) 4034-3337
Centro de Apoio ao Turista,0,cat@braganca.sp.gov.br,68,,927,(11) 4035-0049
Divisão de Cultura,0,cultura@braganca.sp.gov.br,87,,928,(11) 4034-6570
Divisão de Turismo,0,turismo@braganca.sp.gov.br,87,Raul Wagner Tadeu Lencini,929,(11) 4034-6570
Gabinete do Secretário,0,cultura@braganca.sp.gov.br / turismo@braganca.sp.gov.br,87,Raul Wagner Tadeu Lencini,930,(11) 4034-6570
Mini Mis,0,,35,,931,(11) 4034-6570
Museu Municipal Oswaldo Russomano,0,museu.municipal@braganca.sp.gov.br,83,,932,(11) 4033-7566
Museu do Telefone,0,museu.telefone@braganca.sp.gov.br,69,,933,(11) 4033-1937
Casa da Agricultura – CATI,0,,44,,934,(11) 4035-2880
Centro de Abastecimento,0,,44,,935,(11) 4035-1971 / (11) 4035-7670
Defesa Agropecuária – CDA,0,,44,,936,(11) 4033-7386
Divisão de Abastecimento,0,agronegocios@braganca.sp.gov.br,44,Henrique Acedo Leitão Xavier,937,(11) 4035-7670
Divisão dos Agronegócios,0,agronegocios@braganca.sp.gov.br,44,Sergio Hideo Sato,938,(11) 4035-7670
Gabinete do Secretário,0,agronegocios@braganca.sp.gov.br,59,Leonardo Godoi Paes,939,(11) 4035-7670
Mercado Municipal,0,,85,,940,
Unidade de Cadastro Municipal – INCRA,0,saladacidadania@spo.incra.gov.br,44,,941,(11) 4035-7688 / (11) 4035-7670
Call Center,1,supervisor1_braganca@gruposolutions.com.br,31,,942,WhatsApp: (11) 94208-5980 / 4034-7102
Divisão de Contabilidade,1,chefiacontabilidade@braganca.sp.gov.br,31,Isabella Mayara Arantes,943,(11) 4034-7100. Ramal: 1096
Divisão de Fiscalização (Seção de Tesouraria),1,apoiofinanceiro@braganca.sp.gov.br,31,Robson Augusto Gonçalves,944,(11) 4034-7100. Ramal: 1071
Divisão de Fiscalização (Tributos Imobiliários),1,atendimentoitbi@braganca.sp.gov.br e tributosimobiliarios@braganca.sp.gov.br,31,,945,(11) 4034-7086
Divisão de Fiscalização (Tributos Mobiliários),1,difi@braganca.sp.gov.br,31,,946,(11) 4034-7261 e (11) 4034-7292
Divisão de Receita,1,divisao.receita@braganca.sp.gov.br,31,William César Pinheiro,947,(11) 4034-7100. Ramais: 1148 e 1149
Gabinete do Secretário,1,financas@braganca.sp.gov.br,31,Francisco José Rocha,948,(11) 4034-7100. Ramal: 1074
Divisão de Habitação,1,habitacao@braganca.sp.gov.br,31,,949,(11) 4034-7024
Gabinete do Secretário,1,habitacao@braganca.sp.gov.br,31,Mateus de Paula Cruz,950,(11) 4034-7024
Divisão de Patrimônio Imobiliário (DIPA),1,patrimonio.imobiliario@braganca.sp.gov.br,31,,951,(11) 4034-7101 / (11) 4034-7062
Divisão de Planejamento Físico e Territorial (DIPLAN),1,diplan@braganca.sp.gov.br,31,Cecília Martins Molina,952,(11) 4034-7028 / (11) 4034-7279
Divisão de Regularização de Parcelamentos do Solo (RESOLO),1,resolo@braganca.sp.gov.br,31,,953,(11) 4034-7109
Gabinete da Secretária,1,planejamento@braganca.sp.gov.br,31,Mariana da Rocha Lima,954,(11) 4034-7295
Comando da Guarda Civil Municipal,,,72,Andréa Aparecida da Silva Cardoso,955,
Coordenadoria Municipal de Proteção e Defesa Civil (COMPDEC),,defesa.civil@braganca.sp.gov.br,72,Dorival Francisco Bertin,956,(11) 4035-6037
Divisão de Segurança Municipal (DISM),,,72,Alexsandro Olegário da Silva,957,(11) 4035-7474 | Emergência: 153
Gabinete da Corregedoria,,corregedoria.gc@braganca.sp.gov.br,72,Cristiane Tiburcio de Lima | Substituto: Thales Pereira Campos,958,(11) 4035-7474 | Emergência: 153
Gabinete de Comando,,seguranca@braganca.sp.gov.br,72,,959,(11) 4035-7474 | Emergência: 153
Gabinete do Secretário,0,seguranca@braganca.sp.gov.br,60,Alexsandro Olegário da Silva,960,Adm: (11) 4035-7474 | Plantão GCM: WhatsApp (11) 4603-1880 e 153
